day,rainfall_mm
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,12.0
61,12.0
62,12.0
63,12.0
64,12.0
65,12.0
66,12.0
67,12.0
68,12.0
69,12.0
70,12.0
71,12.0
72,12.0
73,12.0
74,12.0
75,12.0
76,12.0
77,12.0
78,12.0
79,12.0
80,12.0
81,12.0
82,12.0
83,12.0
84,12.0
85,12.0
86,12.0
87,12.0
88,12.0
89,12.0
90,12.0
91,8.0
92,8.42
93,8.83
94,9.24
95,9.63
96,10.0
97,10.35
98,10.68
99,10.97
100,11.24
101,11.46
102,11.65
103,11.8
104,11.91
105,11.98
106,12.0
107,11.98
108,11.91
109,11.8
110,11.65
111,11.46
112,11.24
113,10.97
114,10.68
115,10.35
116,10.0
117,9.63
118,9.24
119,8.83
120,8.42
121,4.0
122,3.74
123,3.5
124,3.27
125,3.06
126,2.87
127,2.68
128,2.51
129,2.35
130,2.2
131,2.05
132,1.92
133,1.8
134,1.68
135,1.57
136,1.47
137,1.38
138,1.29
139,1.2
140,1.13
141,1.05
142,0.99
143,0.92
144,0.86
145,0.81
146,0.76
147,0.71
148,0.66
149,0.62
150,0.58
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.63
202,1.25
203,1.85
204,2.44
205,3.0
206,3.53
207,4.01
208,4.46
209,4.85
210,5.2
211,5.48
212,5.71
213,5.87
214,5.97
215,6.0
216,5.97
217,5.87
218,5.71
219,5.48
220,5.2
221,4.85
222,4.46
223,4.01
224,3.53
225,3.0
226,2.44
227,1.85
228,1.25
229,0.63
230,0.0
231,3.0
232,2.71
233,2.46
234,2.22
235,2.01
236,1.82
237,1.65
238,1.49
239,1.35
240,1.22
241,1.1
242,1.0
243,0.9
244,0.82
245,0.74
246,0.67
247,0.61
248,0.55
249,0.5
250,0.45
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
